date,type,amount,balance
1993-05-12,income,500.0,500.0
1993-05-14,income,21959.0,22459.0
1993-05-31,income,51.3,22510.3
1993-05-31,income,54.3,22564.6
1993-06-11,income,2100.0,24664.6
1993-06-14,income,32938.0,57602.6
1993-06-30,income,127.9,57907.0
1993-06-30,income,176.4,57779.1
1993-07-11,expense,15200.0,42707.0
1993-07-14,income,21959.0,64666.0
1993-07-31,income,147.3,64813.3
1993-07-31,income,256.6,65069.9
1993-08-10,expense,21600.0,43469.9
1993-08-14,income,21959.0,65428.9
1993-08-31,income,148.8,65577.6
1993-08-31,income,270.2,65847.8
1993-09-09,expense,22000.0,43847.8
1993-09-14,income,21959.0,65806.8
1993-09-30,income,145.2,66223.8
1993-09-30,income,271.8,66078.6
1993-09-30,expense,14.6,66209.2
1993-10-05,expense,413.0,65796.2
1993-10-09,expense,18700.0,47096.2
1993-10-10,expense,2163.0,44933.2
1993-10-12,expense,3659.8,41273.4
1993-10-12,expense,1915.0,39358.4
1993-10-13,expense,646.0,38712.4
1993-10-14,income,21959.0,60671.4
1993-10-16,other,20807.0,39864.4
1993-10-31,income,123.7,40187.6
1993-10-31,income,199.6,40063.9
1993-10-31,expense,14.6,40173.0
1993-11-05,expense,413.0,39760.0
1993-11-08,expense,7000.0,32760.0
1993-11-10,expense,2163.0,30597.0
1993-11-12,expense,3659.8,26937.2
1993-11-12,expense,1915.0,25022.2
1993-11-13,expense,646.0,24376.2
1993-11-14,income,21959.0,46335.2
1993-11-17,other,15977.0,30358.2
1993-11-30,income,96.3,30593.5
1993-11-30,income,139.0,30497.2
1993-11-30,expense,14.6,30578.9
1993-12-05,expense,413.0,30165.9
1993-12-08,expense,5400.0,25365.9
1993-12-08,income,600.0,30765.9
1993-12-10,expense,2163.0,23202.9
1993-12-12,expense,3659.8,17628.0
1993-12-12,expense,1915.0,21287.9
1993-12-13,expense,646.0,16982.0
1993-12-14,income,32938.0,49920.0
1993-12-23,other,10912.0,39008.0
1993-12-31,income,123.0,39131.1
1993-12-31,income,151.0,39282.1
1993-12-31,expense,14.6,39267.5
1994-01-05,expense,413.0,38854.5
1994-01-07,expense,8400.0,30454.5
1994-01-09,expense,5100.0,25354.5
1994-01-10,expense,2163.0,23191.5
1994-01-12,expense,3659.8,17616.6
1994-01-12,expense,1915.0,21276.5
1994-01-13,expense,646.0,16970.6
1994-01-14,income,21959.0,38929.6
1994-01-29,expense,4200.0,34729.6
1994-01-31,income,142.6,34872.2
1994-01-31,income,142.8,35015.0
1994-01-31,expense,14.6,35000.4
1994-02-05,expense,413.0,34587.4
1994-02-06,expense,2700.0,31887.4
1994-02-10,expense,2163.0,29724.4
1994-02-12,expense,1915.0,24149.5
1994-02-12,expense,3659.8,26064.5
1994-02-13,expense,646.0,23503.5
1994-02-14,income,21959.0,45462.5
1994-02-28,income,151.7,45772.5
1994-02-28,income,158.3,45620.8
1994-02-28,expense,14.6,45757.9
1994-03-05,expense,413.0,45344.9
1994-03-08,expense,11500.0,33844.9
1994-03-10,expense,2163.0,31681.9
1994-03-12,expense,3659.8,26107.1
1994-03-12,expense,1915.0,29766.9
1994-03-13,expense,646.0,25461.1
1994-03-14,income,21959.0,47420.1
1994-03-31,income,129.2,47549.2
1994-03-31,income,177.0,47726.2
1994-03-31,expense,14.6,47711.6
1994-04-05,expense,413.0,47298.6
1994-04-07,expense,12200.0,35098.6
1994-04-10,expense,2163.0,32935.6
1994-04-12,expense,3659.8,29275.7
1994-04-12,expense,1915.0,27360.7
1994-04-13,expense,646.0,26714.7
1994-04-14,income,21959.0,48673.7
1994-04-23,other,23513.0,25160.7
1994-04-30,income,112.5,25273.3
1994-04-30,income,153.9,25427.2
1994-04-30,expense,14.6,25412.6
1994-05-05,expense,413.0,24999.6
1994-05-07,income,3500.0,28499.6
1994-05-10,expense,2163.0,26336.6
1994-05-12,expense,3659.8,22676.7
1994-05-12,expense,1915.0,20761.7
1994-05-13,expense,646.0,20115.7
1994-05-14,income,21959.0,42074.7
1994-05-31,income,120.9,42195.7
1994-05-31,income,140.2,42335.8
1994-05-31,expense,14.6,42321.2
1994-06-05,expense,413.0,41908.2
1994-06-06,expense,8100.0,33808.2
1994-06-10,expense,2163.0,31645.2
1994-06-12,expense,1915.0,29730.2
1994-06-12,expense,3659.8,26070.4
1994-06-13,expense,646.0,25424.4
1994-06-14,income,32938.0,58362.4
1994-06-30,income,195.2,58557.6
1994-06-30,income,194.9,58752.5
1994-06-30,expense,14.6,58737.9
1994-07-05,expense,413.0,58324.9
1994-07-06,expense,17400.0,40924.9
1994-07-10,expense,2163.0,38761.9
1994-07-12,expense,3659.8,33187.1
1994-07-12,expense,1915.0,36846.9
1994-07-13,expense,646.0,32541.1
1994-07-14,income,21959.0,54500.1
1994-07-31,income,204.8,54704.8
1994-07-31,income,204.8,54909.6
1994-07-31,expense,14.6,54895.0
1994-08-05,expense,413.0,54482.0
1994-08-05,expense,12600.0,41882.0
1994-08-10,expense,2163.0,39719.0
1994-08-11,expense,4500.0,35219.0
1994-08-12,expense,1915.0,29644.2
1994-08-12,expense,3659.8,31559.2
1994-08-13,expense,646.0,28998.2
1994-08-14,income,21959.0,50957.2
1994-08-31,income,188.3,51334.5
1994-08-31,income,189.1,51146.2
1994-08-31,expense,14.6,51319.9
1994-08-31,expense,13800.0,37519.9
1994-09-04,expense,4700.0,32819.9
1994-09-05,expense,413.0,32406.9
1994-09-10,expense,2163.0,30243.9
1994-09-10,expense,7500.0,22743.9
1994-09-12,expense,3659.8,17169.1
1994-09-12,expense,1915.0,20828.9
1994-09-13,expense,646.0,16523.1
1994-09-14,income,21959.0,38482.1
1994-09-28,other,15984.0,22498.1
1994-09-30,income,131.1,22629.2
1994-09-30,income,131.6,22760.7
1994-09-30,expense,14.6,22746.1
1994-10-04,income,4800.0,27546.1
1994-10-05,expense,413.0,27133.1
1994-10-10,expense,2163.0,24970.1
1994-10-12,expense,3659.8,19395.3
1994-10-12,expense,1915.0,23055.1
1994-10-13,expense,646.0,18749.3
1994-10-14,income,21959.0,40708.3
1994-10-31,income,126.0,40965.4
1994-10-31,income,131.1,40839.4
1994-10-31,expense,14.6,40950.8
1994-11-03,expense,5000.0,35950.8
1994-11-05,expense,413.0,35537.8
1994-11-10,expense,2163.0,33374.8
1994-11-12,expense,1915.0,31459.8
1994-11-12,expense,3659.8,27799.9
1994-11-13,expense,646.0,27153.9
1994-11-14,income,21959.0,49112.9
1994-11-30,income,141.8,49424.2
1994-11-30,income,169.6,49282.5
1994-11-30,expense,14.6,49409.6
1994-12-03,expense,9600.0,39809.6
1994-12-05,expense,413.0,39396.6
1994-12-10,expense,5400.0,33996.6
1994-12-10,expense,2163.0,31833.6
1994-12-12,expense,1915.0,29918.6
1994-12-12,expense,3659.8,26258.8
1994-12-13,expense,646.0,25612.8
1994-12-14,income,32938.0,58550.8
1994-12-31,income,173.8,58724.6
1994-12-31,income,200.6,58925.1
1994-12-31,expense,14.6,58910.5
1995-01-02,expense,17700.0,41210.5
1995-01-05,expense,413.0,40797.5
1995-01-10,expense,2163.0,38634.5
1995-01-12,expense,1915.0,36719.5
1995-01-12,expense,3659.8,33059.7
1995-01-13,expense,646.0,32413.7
1995-01-14,income,21959.0,54372.7
1995-01-21,expense,12900.0,41472.7
1995-01-24,expense,2400.0,39072.7
1995-01-31,income,176.0,39425.2
1995-01-31,income,176.5,39249.2
1995-01-31,expense,14.6,39410.6
1995-02-01,expense,5700.0,33710.6
1995-02-05,expense,413.0,33297.6
1995-02-10,expense,2163.0,31134.6
1995-02-12,expense,3659.8,27474.7
1995-02-12,expense,1915.0,25559.7
1995-02-13,expense,646.0,24913.7
1995-02-14,income,21959.0,46872.7
1995-02-28,income,157.0,47186.6
1995-02-28,income,157.0,47029.7
1995-02-28,expense,14.6,47172.0
1995-03-03,expense,12400.0,34772.0
1995-03-05,expense,413.0,34359.0
1995-03-10,expense,2163.0,32196.0
1995-03-12,expense,3659.8,28536.2
1995-03-12,expense,1915.0,26621.2
1995-03-13,expense,646.0,25975.2
1995-03-14,income,21959.0,47934.2
1995-03-31,income,160.9,48261.6
1995-03-31,income,166.5,48100.7
1995-03-31,expense,14.6,48247.0
1995-04-02,expense,11400.0,36847.0
1995-04-05,expense,413.0,36434.0
1995-04-10,expense,2163.0,34271.0
1995-04-12,expense,1915.0,28696.2
1995-04-12,expense,3659.8,30611.2
1995-04-13,expense,646.0,28050.2
1995-04-14,income,21959.0,50009.2
1995-04-30,income,142.3,50151.5
1995-04-30,income,173.2,50324.6
1995-04-30,expense,14.6,50310.0
1995-05-02,expense,10200.0,40110.0
1995-05-05,expense,413.0,39697.0
1995-05-10,expense,2163.0,37534.0
1995-05-12,expense,3659.8,31959.2
1995-05-12,expense,1915.0,35619.0
1995-05-13,expense,646.0,31313.2
1995-05-14,income,21959.0,53272.2
1995-05-14,other,11222.0,42050.2
1995-05-31,income,159.8,42210.0
1995-05-31,income,184.9,42394.8
1995-05-31,expense,14.6,42380.2
1995-06-01,expense,9600.0,32780.2
1995-06-05,expense,413.0,32367.2
1995-06-10,expense,2163.0,30204.2
1995-06-12,expense,1915.0,24629.4
1995-06-12,expense,3659.8,26544.4
1995-06-13,expense,646.0,23983.4
1995-06-14,income,32938.0,56921.4
1995-06-22,expense,1800.0,55121.4
1995-06-25,expense,25500.0,29621.4
1995-06-30,income,153.0,29774.4
1995-06-30,income,156.1,29930.6
1995-06-30,expense,14.6,29916.0
1995-07-01,expense,2300.0,27616.0
1995-07-05,expense,413.0,27203.0
1995-07-10,expense,2163.0,25040.0
1995-07-12,expense,3659.8,19465.1
1995-07-12,expense,1915.0,23125.0
1995-07-13,expense,646.0,18819.1
1995-07-14,income,21959.0,40778.1
1995-07-19,expense,7500.0,33278.1
1995-07-31,income,97.5,33375.7
1995-07-31,income,115.3,33491.0
1995-07-31,expense,900.0,32576.4
1995-07-31,expense,14.6,33476.4
1995-08-05,expense,413.0,32163.4
1995-08-10,expense,2163.0,30000.4
1995-08-12,expense,1915.0,28085.4
1995-08-12,expense,3659.8,24425.5
1995-08-13,expense,646.0,23779.5
1995-08-14,income,21959.0,45738.5
1995-08-18,other,5383.0,40355.5
1995-08-30,expense,6800.0,33555.5
1995-08-31,income,100.0,33789.9
1995-08-31,income,134.4,33690.0
1995-08-31,expense,8400.0,25375.3
1995-08-31,expense,14.6,33775.3
1995-09-05,expense,413.0,24962.3
1995-09-10,expense,2163.0,22799.3
1995-09-12,expense,3659.8,19139.5
1995-09-12,expense,1915.0,17224.5
1995-09-13,expense,646.0,16578.5
